trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.1845195239929893}",30,15,12.689054280384974,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,7,2.7920177843054583,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,17,17.056536782104565,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149325}",30,15,31.460080903127604,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",35,12,29.127891380827872,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.1755204006169969}",30,20,8.39415366225835,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,3,17.51393806045921,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,10,-21.937241294037182,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540945}",20,10,21.08660305030692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16863814726859552}",25,18,14.221059933193137,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16696016966704072}",30,17,-2.0611399997195043,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158656}",20,14,14.338067092096075,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270408}",25,13,-35.58244239300511,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.16202575093388077}",25,5,30.505623820284452,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16041356777517277}",30,18,8.4175723459236,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.1588174261069207}",30,4,-17.971759898291094,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.1572371663136276}",20,14,-0.8484282185551628,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.1556726303679973}",25,1,30.36077818561687,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.15412366181513143}",25,0,5.379163122681235,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.15259010575688386}",20,10,13.731294726225968,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.15107180883637084}",30,16,-16.59338767681362,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
190,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,20,10.01664863807865,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14808038659546244}",20,9,9.006108401562704,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,19,9.374785454135319,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14514819848362376}",30,19,18.14731824647532,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14370394977770296}",20,12,11.406689468981607,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.1422740715865136}",20,7,11.842039804601148,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.140858420921045}",20,10,19.631036066415778,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13945685621505094}",30,13,29.360869643451057,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13806923731089282}",25,12,-33.06412319921782,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
199,False,"{'a': 0.5, 'e': 0.13669542544552388}",25,18,13.904753532543358,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,8,9.987654183763368,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13398867466880496}",20,2,-44.605364281265366,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
202,False,"{'a': 0.5, 'e': 0.13265546508012174}",25,13,-18.051511343101012,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
203,False,"{'a': 0.5, 'e': 0.13133552114849306}",30,16,19.66299958330808,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.13002871087842593}",30,16,26.644024216679966,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.12873490358780426}",20,14,12.609696966542138,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12745396989482075}",20,10,19.13187293125663,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12618578170503877}",20,13,15.087253912436175,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12493021219858243}",20,12,15.133326461193553,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12368713581745484}",25,14,22.391448607401465,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.12245642825298192}",20,3,30.523907090910072,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.1212379664333817}",20,9,19.687617116070896,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.12003162851145674}",20,11,18.8665679973072,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
